Result Number,EE_DISPLAY_ID,EE_ORDERING_ID,DOWNLOADABLE,ON_DEMAND,Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Browse Exists,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec
112,LO81790762014063LGN00,LO81790762014063LGN00,1,N,LO81790762014063LGN00, 179, 076, 179, 076,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:08:57:27.3224727,2014:063:08:57:59.3227959,9,10.53,54.03171245,67.80386972,4.219,4.703,Yes,23°06'45.90"S,15°19'45.80"E,22°03'41.54"S,14°37'37.67"E,22°25'57.07"S,16°26'39.08"E,24°09'58.93"S,16°02'35.99"E,23°47'25.40"S,14°12'09.43"E,-23.11275,15.32939,-22.06154,14.62713,-22.43252,16.44419,-24.16637,16.04333,-23.79039,14.20262
113,LO81790772014063LGN00,LO81790772014063LGN00,1,N,LO81790772014063LGN00, 179, 077, 179, 077,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:08:57:51.3227151,2014:063:08:58:22.3230222,9,8.41,53.26411462,66.22884152,5.687,6.783,Yes,24°33'10.55"S,14°59'00.10"E,23°30'04.28"S,14°16'27.41"E,23°52'26.36"S,16°06'41.18"E,25°36'24.26"S,15°42'18.14"E,25°13'43.46"S,13°50'32.42"E,-24.55293,14.98336,-23.50119,14.27428,-23.87399,16.11144,-25.60674,15.70504,-25.22874,13.84234
114,LO81790782014063LGN00,LO81790782014063LGN00,1,N,LO81790782014063LGN00, 179, 078, 179, 078,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:08:58:15.3229515,2014:063:08:58:46.3232646,9,4.34,52.46158692,64.73851884,4.855,7.401,Yes,25°59'32.82"S,14°37'53.72"E,24°56'24.22"S,13°54'53.17"E,25°18'54.11"S,15°46'27.95"E,27°02'47.69"S,15°21'43.42"E,26°39'58.43"S,13°28'29.42"E,-25.99245,14.63159,-24.94006,13.91477,-25.31503,15.77443,-27.04658,15.36206,-26.66623,13.47484
115,LO81630502014063LGN00,LO81630502014063LGN00,1,N,LO81630502014063LGN00, 163, 050, 163, 050,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:07:08:12.2569212,2014:063:07:08:44.2572444,9,3.89,55.63611016,125.41975735,4.444,4.563,Yes,14°27'24.48"N,48°14'55.82"E,15°30'12.56"N,47°34'31.58"E,15°08'30.05"N,49°18'21.96"E,13°24'01.01"N,48°54'49.64"E,13°45'51.80"N,47°11'48.73"E,14.4568,48.24884,15.50349,47.57544,15.14168,49.3061,13.40028,48.91379,13.76439,47.19687
116,LO81630522014063LGN00,LO81630522014063LGN00,1,N,LO81630522014063LGN00, 163, 052, 163, 052,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:07:09:00.2574000,2014:063:07:09:31.2577131,9,18.35,56.86386604,121.38313277,5.379,6.038,Yes,11°34'04.08"N,47°36'52.02"E,12°36'51.55"N,46°56'57.62"E,12°15'16.02"N,48°39'26.86"E,10°30'43.13"N,48°16'21.68"E,10°52'27.80"N,46°34'31.33"E,11.5678,47.61445,12.61432,46.94934,12.25445,48.65746,10.51198,48.27269,10.87439,46.57537
117,LO81630532014063LGN00,LO81630532014063LGN00,1,N,LO81630532014063LGN00, 163, 053, 163, 053,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:07:09:23.2576323,2014:063:07:09:55.2579555,9,.06,57.40753083,119.25914359,4.917,5.381,Yes,10°07'20.96"N,47°18'02.30"E,11°10'08.69"N,46°38'17.34"E,10°48'34.67"N,48°20'18.92"E,9°04'00.84"N,47°57'25.34"E,9°25'44.36"N,46°15'57.56"E,10.12249,47.30064,11.16908,46.63815,10.80963,48.33859,9.0669,47.95704,9.42899,46.26599
118,LO81630542014063LGN00,LO81630542014063LGN00,1,N,LO81630542014063LGN00, 163, 054, 163, 054,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:07:09:47.2578747,2014:063:07:10:19.2581919,9,.01,57.90100767,117.06863088,4.17,4.525,Yes,8°40'37.02"N,46°59'19.54"E,9°43'25.07"N,46°19'41.23"E,9°21'51.66"N,48°01'21.97"E,7°37'17.58"N,47°38'38.62"E,7°59'00.78"N,45°57'26.75"E,8.67695,46.98876,9.72363,46.32812,9.36435,48.02277,7.62155,47.64406,7.98355,45.95743
119,LO81950362014063LGN00,LO81950362014063LGN00,1,N,LO81950362014063LGN00, 195, 036, 195, 036,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:20:23.3722323,2014:063:10:20:55.3725555,9,18.04,43.30071738,146.23300176,5.563,4.528,Yes,34°36'37.91"N,3°44'58.34"E,35°39'44.71"N,2°58'04.22"E,35°16'18.41"N,5°00'53.24"E,33°32'41.14"N,4°30'26.64"E,33°56'05.53"N,2°30'09.43"E,34.61053,3.74954,35.66242,2.96784,35.27178,5.01479,33.54476,4.5074,33.93487,2.50262
120,LO81950372014063LGN00,LO81950372014063LGN00,1,N,LO81950372014063LGN00, 195, 037, 195, 037,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:20:47.3724747,2014:063:10:21:19.3727919,9,7.38,44.34150206,145.09581265,4.782,4.762,Yes,33°10'36.48"N,3°21'03.89"E,34°13'40.26"N,2°34'51.56"E,33°50'26.63"N,4°35'34.30"E,32°06'43.67"N,4°05'55.86"E,32°29'56.58"N,2°07'34.90"E,33.1768,3.35108,34.22785,2.58099,33.84073,4.59286,32.11213,4.09885,32.49905,2.12636
121,LO81950382014063LGN00,LO81950382014063LGN00,1,N,LO81950382014063LGN00, 195, 038, 195, 038,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:21:11.3727111,2014:063:10:21:43.3730343,9,.21,45.36425976,143.91673623,3.3,3.18,Yes,31°44'32.21"N,2°57'44.03"E,32°47'33.07"N,2°12'13.32"E,32°24'31.93"N,4°10'53.65"E,30°40'43.10"N,3°41'59.53"E,31°03'44.57"N,1°45'31.54"E,31.74228,2.96223,32.79252,2.2037,32.40887,4.18157,30.67864,3.69987,31.06238,1.75876
122,LO81950392014063LGN00,LO81950392014063LGN00,1,N,LO81950392014063LGN00, 195, 039, 195, 039,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:21:35.3729535,2014:063:10:22:07.3732707,9,.01,46.36810164,142.69203775,3.185,2.671,Yes,30°18'23.26"N,2°34'55.49"E,31°21'22.00"N,1°50'02.29"E,30°58'31.69"N,3°46'51.78"E,29°14'37.54"N,3°18'38.27"E,29°37'29.17"N,1°23'52.22"E,30.30646,2.58208,31.35611,1.83397,30.97547,3.78105,29.24376,3.31063,29.62477,1.39784
123,LO81950402014063LGN00,LO81950402014063LGN00,1,N,LO81950402014063LGN00, 195, 040, 195, 040,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:21:59.3731959,2014:063:10:22:31.3735131,9,.01,47.35178065,141.41820437,2.528,2.538,Yes,28°52'09.01"N,2°12'35.53"E,29°55'05.88"N,1°28'16.28"E,29°32'25.04"N,3°23'24.72"E,27°48'26.32"N,2°55'48.76"E,28°11'09.46"N,1°02'35.38"E,28.86917,2.20987,29.9183,1.47119,29.54029,3.3902,27.80731,2.93021,28.18596,1.04316
124,LO81950412014063LGN00,LO81950412014063LGN00,1,N,LO81950412014063LGN00, 195, 041, 195, 041,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:22:23.3734323,2014:063:10:22:55.3737555,9,0,48.31318282,140.09268877,3.365,3.241,Yes,27°25'52.68"N,1°50'42.29"E,28°28'47.86"N,1°06'54.32"E,28°06'15.37"N,3°00'29.95"E,26°22'12.58"N,2°33'28.66"E,26°44'48.12"N,0°41'40.16"E,27.4313,1.84508,28.47996,1.11509,28.10427,3.00832,26.37016,2.55796,26.7467,.69449
125,LO81950422014063LGN00,LO81950422014063LGN00,1,N,LO81950422014063LGN00, 195, 042, 195, 042,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:22:47.3736747,2014:063:10:23:18.3739818,9,0,49.25074895,138.71234218,4.641,4.47,Yes,25°59'34.37"N,1°29'13.67"E,27°02'28.07"N,0°45'55.37"E,26°40'03.43"N,2°38'03.80"E,24°55'56.75"N,2°11'34.33"E,25°18'25.24"N,0°21'05.47"E,25.99288,1.48713,27.04113,.76538,26.66762,2.63439,24.93243,2.19287,25.30701,.35152
126,LO81950432014063LGN00,LO81950432014063LGN00,1,N,LO81950432014063LGN00, 195, 043, 195, 043,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:23:11.3739111,2014:063:10:23:42.3742242,9,0,50.16331895,137.27328845,4.468,4.14,Yes,24°33'11.27"N,1°08'07.01"E,25°36'03.85"N,0°25'17.08"E,25°13'46.60"N,2°16'03.36"E,23°29'35.99"N,1°50'03.19"E,23°51'57.82"N,0°00'49.32"E,24.55313,1.13528,25.60107,.42141,25.22961,2.2676,23.49333,1.83422,23.86606,.0137
127,LO81950442014063LGN00,LO81950442014063LGN00,1,N,LO81950442014063LGN00, 195, 044, 195, 044,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:23:34.3741434,2014:063:10:24:06.3744606,9,0,51.04864697,135.77304089,6.372,5.848,Yes,23°06'45.68"N,0°47'20.80"E,24°09'37.26"N,0°04'56.46"E,23°47'26.45"N,1°54'28.19"E,22°03'12.38"N,1°28'55.09"E,22°25'28.49"N,0°19'11.06"W,23.11269,.78911,24.16035,.08235,23.79068,1.90783,22.05344,1.48197,22.42458,-.31974
128,LO81950452014063LGN00,LO81950452014063LGN00,1,N,LO81950452014063LGN00, 195, 045, 195, 045,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:23:58.3743858,2014:063:10:24:30.3747030,9,0,51.90495151,134.20858321,6.749,6.098,Yes,21°40'16.86"N,0°26'53.05"E,22°43'07.57"N,0°15'07.38"W,22°21'02.48"N,1°33'15.48"E,20°36'45.50"N,1°08'07.12"E,20°58'56.42"N,0°38'56.80"W,21.67135,.44807,22.71877,-.25205,22.35069,1.5543,20.61264,1.13531,20.98234,-.64911
129,LO81950462014063LGN00,LO81950462014063LGN00,1,N,LO81950462014063LGN00, 195, 046, 195, 046,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:24:22.3746222,2014:063:10:24:54.3749454,9,0,52.72973601,132.57822241,6.601,5.471,Yes,20°13'47.71"N,0°06'42.77"E,21°16'37.60"N,0°34'54.55"W,20°54'38.12"N,1°12'22.93"E,19°10'18.19"N,0°47'37.25"E,19°32'24.07"N,0°58'27.62"W,20.22992,.11188,21.27711,-.58182,20.91059,1.20637,19.17172,.79368,19.54002,-.97434
130,LO81950472014063LGN00,LO81950472014063LGN00,1,N,LO81950472014063LGN00, 195, 047, 195, 047,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:24:46.3748646,2014:063:10:25:18.3751818,9,.02,53.52144688,130.87862967,4.886,3.864,Yes,18°47'14.71"N,0°13'12.36"W,19°50'04.06"N,0°54'28.84"W,19°28'09.59"N,0°51'49.14"E,17°43'46.78"N,0°27'24.44"E,18°05'48.23"N,1°17'47.00"W,18.78742,-.2201,19.83446,-.90801,19.46933,.86365,17.72966,.45679,18.09673,-1.29639
131,LO81950482014063LGN00,LO81950482014063LGN00,1,N,LO81950482014063LGN00, 195, 048, 195, 048,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:25:10.3751010,2014:063:10:25:42.3754242,9,7.34,54.27751572,129.10857106,5.826,5.655,Yes,17°20'39.91"N,0°32'53.30"W,18°23'28.75"N,1°13'50.59"W,18°01'38.71"N,0°31'33.02"E,16°17'13.52"N,0°07'27.30"E,16°39'10.98"N,1°36'55.62"W,17.34442,-.54814,18.39132,-1.23072,18.02742,.52584,16.28709,.12425,16.65305,-1.61545
132,LO81950492014063LGN00,LO81950492014063LGN00,1,N,LO81950492014063LGN00, 195, 049, 195, 049,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:25:34.3753434,2014:063:10:26:06.3756606,9,7.38,54.99574402,127.26645678,6.674,6.172,Yes,15°54'02.45"N,0°52'21.79"W,16°56'50.89"N,1°33'01.37"W,16°35'04.85"N,0°11'32.78"E,14°50'37.46"N,0°12'15.55"W,15°12'31.46"N,1°55'54.70"W,15.90068,-.87272,16.94747,-1.55038,16.58468,.19244,14.84374,-.20432,15.20874,-1.93186
133,LO81950502014063LGN00,LO81950502014063LGN00,1,N,LO81950502014063LGN00, 195, 050, 195, 050,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:25:58.3755858,2014:063:10:26:30.3759030,9,1.47,55.67331857,125.35269383,5.82,5.196,Yes,14°27'25.45"N,1°11'38.36"W,15°30'13.68"N,1°52'02.35"W,15°08'31.06"N,0°08'12.34"W,13°24'01.80"N,0°31'44.87"W,13°45'52.74"N,2°14'45.35"W,14.45707,-1.19399,15.5038,-1.86732,15.14196,-.13676,13.4005,-.52913,13.76465,-2.24593
134,LO81950512014063LGN00,LO81950512014063LGN00,1,N,LO81950512014063LGN00, 195, 051, 195, 051,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:26:22.3758222,2014:063:10:26:54.3761454,9,4.34,56.30833595,123.36562783,5.084,4.483,Yes,13°00'44.46"N,1°30'45.40"W,14°03'32.51"N,2°10'55.34"W,13°41'52.80"N,0°27'44.68"W,11°57'21.92"N,0°51'02.81"W,12°19'10.38"N,2°33'29.30"W,13.01235,-1.51261,14.05903,-2.18204,13.698,-.46241,11.95609,-.85078,12.31955,-2.55814
135,LO81950522014063LGN00,LO81950522014063LGN00,1,N,LO81950522014063LGN00, 195, 052, 195, 052,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:26:46.3760646,2014:063:10:27:17.3763717,9,.03,56.89791359,121.30758273,5.663,5.038,Yes,11°34'03.14"N,1°49'43.03"W,12°36'51.08"N,2°29'40.31"W,12°15'14.00"N,0°47'04.92"W,10°30'41.58"N,1°10'10.31"W,10°52'27.77"N,2°52'06.71"W,11.56754,-1.82862,12.61419,-2.49453,12.25389,-.7847,10.51155,-1.16953,10.87438,-2.86853
136,LO81630552014063LGN00,LO81630552014063LGN00,1,N,LO81630552014063LGN00, 163, 055, 163, 055,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:07:10:11.2581111,2014:063:07:10:43.2584343,9,2.67,58.34189943,114.81559625,4.823,5.118,Yes,7°13'52.50"N,46°40'42.53"E,8°16'40.48"N,46°01'13.51"E,7°55'09.08"N,47°42'29.45"E,6°10'34.14"N,47°19'55.06"E,6°32'15.65"N,45°39'03.06"E,7.23125,46.67848,8.27791,46.02042,7.91919,47.70818,6.17615,47.33196,6.53768,45.65085
137,LO81950532014063LGN00,LO81950532014063LGN00,1,N,LO81950532014063LGN00, 195, 053, 195, 053,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:27:10.3763010,2014:063:10:27:41.3766141,9,0,57.4395569,119.18048621,6.01,5.835,Yes,10°07'21.68"N,2°08'32.53"W,11°10'09.73"N,2°48'18.79"W,10°48'34.96"N,1°06'14.51"W,9°04'01.38"N,1°29'08.30"W,9°25'45.66"N,3°10'38.71"W,10.12269,-2.14237,11.16937,-2.80522,10.80971,-1.10403,9.06705,-1.48564,9.42935,-3.17742
138,LO81950542014063LGN00,LO81950542014063LGN00,1,N,LO81950542014063LGN00, 195, 054, 195, 054,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:10:27:33.3765333,2014:063:10:28:05.3768505,9,.02,57.9311284,116.98581274,5.878,5.846,Yes,8°40'36.80"N,2°27'15.77"W,9°43'24.85"N,3°06'52.20"W,9°21'51.98"N,1°25'14.88"W,7°37'17.54"N,1°47'58.52"W,7°59'00.24"N,3°29'07.01"W,8.67689,-2.45438,9.72357,-3.1145,9.36444,-1.4208,7.62154,-1.79959,7.9834,-3.48528
139,LO81630082014063LGN00,LO81630082014063LGN00,1,N,LO81630082014063LGN00, 163, 008, 163, 008,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:06:51:29.2468929,2014:063:06:52:01.2472101,9,1.18,10.18913073,179.10845189,9.884,10.824,Yes,73°28'19.42"N,79°07'11.89"E,74°39'42.08"N,78°00'10.01"E,73°44'28.39"N,83°22'24.42"E,72°16'07.57"N,80°03'56.99"E,73°07'13.80"N,75°00'41.65"E,73.47206,79.11997,74.66169,78.00278,73.74122,83.37345,72.26877,80.06583,73.1205,75.01157
140,LO81630092014063LGN00,LO81630092014063LGN00,1,N,LO81630092014063LGN00, 163, 009, 163, 009,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:06:51:53.2471353,2014:063:06:52:24.2474424,9,.32,11.43539835,176.72251005,8.619,8.941,Yes,72°12'23.33"N,76°40'14.95"E,73°23'01.39"N,75°28'56.96"E,72°31'27.34"N,80°35'37.64"E,71°00'51.05"N,77°41'36.49"E,71°48'50.65"N,72°53'22.45"E,72.20648,76.67082,73.38372,75.48249,72.52426,80.59379,71.01418,77.69347,71.81407,72.88957
141,LO81630102014063LGN00,LO81630102014063LGN00,1,N,LO81630102014063LGN00, 163, 010, 163, 010,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:06:52:16.2473616,2014:063:06:52:48.2476848,9,5.34,12.67947928,174.62480739,8.804,9.077,Yes,70°54'59.36"N,74°31'37.34"E,72°04'54.73"N,73°18'01.30"E,71°16'32.59"N,78°09'30.82"E,69°44'06.14"N,75°35'48.95"E,70°29'22.13"N,71°01'48.94"E,70.91649,74.52704,72.08187,73.30036,71.27572,78.15856,69.73504,75.59693,70.48948,71.03026
142,LO81150222014063LGN00,LO81150222014063LGN00,1,N,LO81150222014063LGN00, 115, 022, 115, 022,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:00:24.0722424,2014:063:02:00:55.0725555,9,15.78,27.28242629,159.6392626,6.408,7.464,Yes,54°30'30.67"N,134°39'04.32"E,55°35'17.41"N,133°37'35.98"E,55°05'52.30"N,136°31'22.55"E,53°24'39.38"N,135°36'52.24"E,53°53'26.12"N,132°49'50.45"E,54.50852,134.6512,55.58817,133.62666,55.09786,136.52293,53.41094,135.61451,53.89059,132.83068
143,LO81150232014063LGN00,LO81150232014063LGN00,1,N,LO81150232014063LGN00, 115, 023, 115, 023,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:00:48.0724848,2014:063:02:01:19.0727919,9,20.09,28.47533894,158.72846822,6.064,6.066,Yes,53°06'09.58"N,133°57'49.32"E,54°10'43.39"N,132°57'44.64"E,53°42'02.05"N,135°45'54.79"E,52°00'32.18"N,134°54'29.05"E,52°28'39.86"N,132°12'34.16"E,53.10266,133.9637,54.17872,132.9624,53.70057,135.76522,52.00894,134.90807,52.47774,132.20949
